"ZODIAC","FIVEELEMENTS","MOON","LOAN"
"Capricorn","Water",0.75,"YES"
"Virgo","Wood",1,"YES"
"Aries","Wood",0.5,"NO"
"Leo","Wood",0.25,"YES"
"Cancer","Water",0.25,"YES"
"Sagittarius","Wood",0.75,"YES"
"Cancer","Earth",1,"YES"
"Pisces","Metal",0,"NO"
"Aries","Wood",0.75,"NO"
"Gemini","Fire",0.25,"YES"
"Sagittarius","Wood",0.25,"YES"
"Libra","Water",0,"NO"
"Pisces","Water",0,"YES"
"Cancer","Fire",0.75,"YES"
"Leo","Fire",0.75,"YES"
"Capricorn","Earth",1,"YES"
"Libra","Fire",1,"YES"
"Cancer","Fire",0,"YES"
"Leo","Earth",0.5,"YES"
"Sagittarius","Fire",0.75,"YES"
"Leo","Fire",0,"YES"
"Libra","Metal",0.75,"YES"
"Libra","Wood",1,"YES"
"Leo","Fire",1,"YES"
"Leo","Earth",0.25,"NO"
"Aquarius","Metal",1,"YES"
"Aries","Water",0.75,"NO"
"Scorpio","Fire",0.25,"YES"
"Libra","Metal",0,"NO"
"Capricorn","Fire",0.5,"YES"
"Scorpio","Wood",0.5,"NO"
"Virgo","Metal",0.25,"YES"
"Capricorn","Earth",1,"YES"
"Capricorn","Wood",1,"YES"
"Capricorn","Fire",0.75,"YES"
"Scorpio","Fire",1,"YES"
"Scorpio","Fire",0,"YES"
"Aquarius","Earth",1,"YES"
"Aquarius","Metal",0.25,"NO"
"Sagittarius","Water",1,"YES"
"Scorpio","Water",0.25,"NO"
"Aquarius","Metal",0,"YES"
"Libra","Water",0,"YES"
"Aquarius","Fire",1,"YES"
"Aquarius","Wood",1,"YES"
"Gemini","Metal",1,"YES"
"Pisces","Earth",0.25,"NO"
"Pisces","Wood",1,"YES"
"Gemini","Wood",0.75,"YES"
"Capricorn","Fire",0.75,"YES"
"Gemini","Metal",1,"YES"
"Sagittarius","Wood",0.25,"NO"
"Sagittarius","Metal",0.25,"NO"
"Pisces","Earth",0,"NO"
"Taurus","Metal",0,"YES"
"Aries","Metal",0.75,"NO"
"Pisces","Water",0.25,"NO"
"Scorpio","Metal",0.25,"NO"
"Capricorn","Fire",1,"YES"
"Taurus","Water",0.25,"NO"
"Scorpio","Earth",1,"YES"
"Libra","Wood",0.25,"YES"
"Aquarius","Fire",0.75,"YES"
"Scorpio","Fire",1,"YES"
"Sagittarius","Earth",0.25,"NO"
"Scorpio","Fire",0.5,"YES"
"Scorpio","Earth",0,"NO"
"Libra","Water",1,"YES"
"Leo","Water",0.5,"NO"
"Aquarius","Wood",0.25,"NO"
"Virgo","Water",0.25,"NO"
"Gemini","Metal",0.5,"YES"
"Aries","Earth",0.25,"YES"
"Taurus","Wood",0,"YES"
"Capricorn","Earth",1,"YES"
"Capricorn","Wood",0.5,"NO"
"Pisces","Water",0.25,"YES"
"Sagittarius","Earth",1,"YES"
"Taurus","Wood",1,"YES"
"Taurus","Earth",0,"NO"
"Leo","Wood",1,"YES"
"Virgo","Fire",1,"YES"
"Cancer","Wood",1,"YES"
"Aries","Water",0,"NO"
"Aries","Water",1,"NO"
"Capricorn","Earth",0.75,"YES"
"Pisces","Wood",0.25,"NO"
"Capricorn","Fire",1,"YES"
"Virgo","Wood",0,"YES"
"Virgo","Wood",1,"YES"
"Capricorn","Water",0.75,"YES"
"Cancer","Water",1,"YES"
"Cancer","Water",1,"YES"
"Taurus","Earth",1,"YES"
"Cancer","Fire",1,"YES"
"Capricorn","Wood",0.75,"YES"
"Virgo","Wood",0.25,"NO"
"Aquarius","Earth",0.5,"NO"
"Leo","Fire",0.25,"YES"
"Libra","Metal",1,"YES"
"Aries","Wood",0.75,"NO"
"Scorpio","Wood",0.75,"YES"
"Capricorn","Earth",0.25,"YES"
"Leo","Fire",0.25,"YES"
"Virgo","Metal",0.5,"YES"
"Gemini","Earth",1,"YES"
"Aquarius","Metal",0.25,"YES"
"Capricorn","Metal",0.25,"NO"
"Taurus","Metal",0,"NO"
"Leo","Fire",0,"YES"
"Capricorn","Wood",1,"YES"
"Sagittarius","Fire",0.75,"YES"
"Cancer","Fire",0,"YES"
"Taurus","Wood",1,"YES"
"Aquarius","Earth",1,"YES"
"Pisces","Metal",0,"NO"
"Capricorn","Water",0,"YES"
"Aquarius","Wood",0.25,"NO"
"Cancer","Wood",0.25,"NO"
"Scorpio","Earth",1,"YES"
"Virgo","Earth",1,"YES"
"Aries","Fire",0.75,"NO"
"Aries","Fire",0,"NO"
"Cancer","Earth",1,"YES"
"Gemini","Fire",0.25,"YES"
"Leo","Earth",0,"YES"
"Gemini","Earth",0.5,"NO"
"Aquarius","Fire",0.25,"YES"
"Aries","Metal",1,"NO"
"Gemini","Wood",1,"YES"
"Scorpio","Water",0.5,"NO"
"Taurus","Wood",0.75,"YES"
"Sagittarius","Earth",1,"YES"
"Sagittarius","Earth",0.75,"YES"
"Gemini","Fire",1,"YES"
"Cancer","Wood",1,"YES"
"Taurus","Earth",0.25,"NO"
"Pisces","Metal",0.5,"YES"
"Sagittarius","Fire",0.25,"YES"
"Aries","Wood",0.75,"YES"
"Libra","Water",0.75,"YES"
"Aquarius","Metal",1,"YES"
"Capricorn","Water",0.75,"YES"
"Libra","Wood",0.5,"NO"
"Capricorn","Fire",0,"YES"
"Virgo","Water",0.5,"YES"
"Aries","Earth",0.75,"NO"
"Aries","Wood",1,"YES"
"Scorpio","Earth",0.25,"NO"
"Gemini","Earth",0,"YES"
"Virgo","Wood",0.75,"YES"
"Virgo","Wood",0.25,"NO"
"Gemini","Metal",0.5,"YES"
"Sagittarius","Earth",1,"YES"
"Cancer","Wood",0.75,"YES"
"Sagittarius","Fire",0,"YES"
"Virgo","Metal",0,"YES"
"Sagittarius","Metal",0.25,"NO"
"Gemini","Fire",0.25,"YES"
"Virgo","Earth",0.25,"YES"
"Taurus","Metal",0,"YES"
"Libra","Wood",0.5,"YES"
"Taurus","Metal",0.25,"NO"
"Libra","Metal",0.5,"NO"
"Sagittarius","Metal",0.25,"YES"
"Aquarius","Metal",1,"YES"
"Aquarius","Earth",0.75,"YES"
"Libra","Earth",0.75,"YES"
"Leo","Water",0.5,"YES"
"Scorpio","Fire",0.25,"YES"
"Pisces","Fire",0,"YES"
"Gemini","Metal",0.5,"NO"
"Libra","Water",0,"YES"
"Pisces","Wood",0.5,"YES"
"Sagittarius","Earth",0.25,"YES"
"Taurus","Metal",0,"YES"
"Taurus","Metal",1,"YES"
"Gemini","Earth",0.75,"YES"
"Leo","Fire",0.25,"YES"
"Pisces","Earth",0.5,"NO"
"Taurus","Earth",0.75,"YES"
"Aries","Water",0,"NO"
"Libra","Metal",0.75,"YES"
"Virgo","Water",0.25,"YES"
"Taurus","Fire",1,"YES"
"Virgo","Metal",1,"YES"
"Libra","Water",0.75,"YES"
"Sagittarius","Earth",0.25,"YES"
"Pisces","Earth",0.25,"YES"
"Virgo","Fire",0.25,"YES"
"Gemini","Metal",0.5,"NO"
"Taurus","Wood",0,"NO"
"Scorpio","Water",0,"YES"
"Aquarius","Water",1,"YES"
"Aries","Metal",0.25,"NO"
